Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
56,Where the Wild Things Are,Maurice Sendak,4.25,"1,019,783","First published April 9, 1963","Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.","14,185",38,Paperback,"562,602","Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult"
57,The Lovely Bones,Alice Sebold,3.86,"2,391,051","First published July 3, 2002","""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""","47,543",372,Mass Market Paperback,"561,719","Fiction, Mystery, Young Adult, Contemporary, Fantasy, Crime, Thriller"
55,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14,"2,130,243","First published January 1, 1985","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…","101,076",311,Paperback,"579,909","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult"
54,"The Giver (The Giver, #1)",Lois Lowry,4.12,"2,572,072","First published April 26, 1993","At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.","81,749",208,Paperback,"583,462","Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School"
52,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,"1,658,424","First published January 1, 1818", ,"67,910",260,Paperback,"601,672","Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature"
49,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,"1,225,659","First published January 1, 1962","Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.","40,518",218,Paperback,"627,387","Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade"
53,The Kite Runner,Khaled Hosseini,4.35,"3,238,756","First published May 29, 2003","1970s Afghanistan: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what would happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to an Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption.","102,171",371,Paperback,"595,847","Fiction, Historical Fiction, Contemporary, Novels, Historical, Literature, School"
51,The Odyssey,Homer,3.81,"1,110,988","First published January 1, 701",So begins Robert Fagles' magnificent translation of the ,"20,602",541,Paperback,"609,522","Fiction, Poetry, Mythology, Classics, Fantasy, School, Literature"
50,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,823,430","First published July 21, 2007","Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...","89,143",759,Hardcover,"612,705","Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure"
48,Little Women,Louisa May Alcott,4.16,"2,290,449","First published September 30, 1868","Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, ","54,919",449,Mass Market Paperback,"675,074","Romance, Historical, Literature, Childrens, Young Adult, Audiobook, Classic Literature"
43,The Time Traveler’s Wife,Audrey Niffenegger,4.00,"1,810,042","First published January 1, 2003","This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force they can neither prevent nor control, Henry and Clare’s struggle to lead normal lives is both intensely moving and entirely unforgettable.","54,506",537,ebook,"697,800","Fiction, Romance, Fantasy, Time Travel, Science Fiction, Contemporary, Adult"
46,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,561,594","First published August 6, 1996","Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.","66,332",835,Mass Market Paperback,"681,539","Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Science Fiction Fantasy, Audiobook"
47,1984,George Orwell,4.19,"4,813,809","First published June 8, 1949","Among the seminal texts of the 20th century, ","125,011",298,Kindle Edition,"675,132","Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels"
44,The Secret Garden,Frances Hodgson Burnett,4.16,"1,208,716","First published August 1, 1911","In a house full of sadness and secrets, can young, orphaned Mary find happiness?","30,280",331,Hardcover,"695,277","Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook"
41,A Thousand Splendid Suns,Khaled Hosseini,4.44,"1,586,563","First published May 1, 2007","Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter. ","81,046",372,Hardcover,"721,165","Fiction, Historical Fiction, Historical, Novels, Classics, War, Adult"
42,The Princess Bride,William Goldman,4.27,"913,882","First published September 1, 1973",What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?,"27,282",429,Paperback,"698,337","Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics"
45,The Outsiders,S.E. Hinton,4.13,"1,408,903","First published April 24, 1967"," is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.","50,106",208,Mass Market Paperback,"687,909","Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction"
40,Brave New World,Aldous Huxley,3.99,"1,913,160","First published January 1, 1932","Aldous Huxley's profoundly important classic of world literature, ","50,733",268,Paperback,"730,568","Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School"
38,The Catcher in the Rye,J.D. Salinger,3.80,"3,624,874","First published July 16, 1951","Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.","89,597",277,Paperback,"753,937","Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels"
